scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,composite_score
Sundaram Ultra Short Duration Fund,2000,1000,0.06563706563706564,1412.0,10,Sandeep Agarwal,4.75,2.16,0.0024531956100710137,0.8816425120772947,0.3847926267281106,3,Sundaram Mutual Fund,3,Debt,Ultra Short Duration Funds,5.7,4.7,4.5,0.30878885574567627
Aditya Birla SL Money Manager Fund,1000,1000,0.08108108108108109,13095.0,10,Mohit Sharma,4.58,3.06,0.005293737895416399,0.8902308105206657,0.36405529953917054,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4,0.3088564567100087
AXIS Money Market Fund,1000,5000,0.08108108108108109,4002.0,4,Devang Shah,4.81,2.81,0.004519044544867656,0.8878153515834676,0.37096774193548393,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.4,8.9,0.31025342430382585
SBI Savings Fund,500,500,0.0888030888030888,19441.0,10,R Arun,4.1,2.73,0.0041316978695932855,0.8870101986044016,0.3663594470046084,3,SBI Mutual Fund,3,Debt,Money Market Funds,5.5,5.3,6.2,0.31054357049043335
HDFC Money Market Fund,100,100,0.08108108108108109,15176.0,10,Vikas Agrawal,4.85,3.08,0.005422853453841187,0.8907675791733763,0.3755760368663595,3,HDFC Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.3,0.3124523105283137
PGIM India Ultra Short Duration Fund,1000,25000,0.09652509652509653,405.0,10,Puneet Pal,4.43,2.45,0.0033570045190445446,0.8840579710144928,0.3732718894009217,2,PGIM India Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,7.3,0.31376368628421036
Kotak Money Market Fund,0,5000,0.1003861003861004,14248.0,10,Deepak Agrawal,4.43,2.59,0.003098773402194964,0.8872785829307569,0.36866359447004615,3,Kotak Mahindra Mutual Fund,3,Debt,Money Market Funds,5.6,5.1,6.1,0.3139260133742391
Aditya Birla SL Savings Fund,1000,1000,0.1312741312741313,14457.0,10,Kaustubh Gupta,4.23,2.64,0.0063266623628147195,0.8781535158346753,0.359447004608295,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5,0.31786500295866005
Aditya Birla SL Low Duration Fund,100,100,0.15057915057915058,10035.0,10,Mohit Sharma,4.76,3.33,0.009038089089735312,0.8819108964036501,0.3387096774193549,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7.0,0.317899392423758
Baroda BNP Paribas Ultra Short Duration Fund,500,5000,0.08494208494208494,560.0,5,Vikram Pamnani,3.14,2.59,0.0033570045190445446,0.8883521202361783,0.40322580645161293,2,Baroda BNP Paribas Mutual Fund,3,Debt,Ultra Short Duration Funds,5.7,5.1,8.9,0.3207129383480019
HDFC Ultra Short Term Fund,100,100,0.1312741312741313,13303.0,5,Anil Bamboli,4.46,2.7,0.0047772756617172375,0.8845947396672035,0.3663594470046084,3,HDFC Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,8.9,0.3208396337687853
AXIS FTP – Series 109 – 111Days,0,0,0.0,565.0,1,Devang Shah,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,0.3229589646766151
ICICI Pru Money Market Fund,100,500,0.08108108108108109,11475.0,10,Rahul Goswami,4.38,2.82,0.005164622336991607,0.8886205045625336,0.4147465437788019,3,ICICI Prudential Mutual Fund,3,Debt,Money Market Funds,5.5,5.4,6.1,0.32370948990066545
ICICI Pru Asset Allocator Fund,1000,5000,0.0694980694980695,18393.0,10,Dharmesh Kakkad,5.89,7.45,0.10858618463524855,0.869296833064949,0.3525345622119816,4,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,8.8,21.6,12.8,0.3241407988099138
HDFC Floating Rate Debt Fund,100,100,0.1003861003861004,14785.0,10,Shobhit Mehrotra,3.33,3.39,0.012524209167204647,0.8792270531400966,0.4055299539170507,3,HDFC Mutual Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9,0.3257319741914608
HSBC Ultra Short Duration Fund,500,5000,0.08494208494208494,2279.0,3,Mahesh A Chhabria,3.5,2.48,0.0034861200774693353,0.8864734299516909,0.42165898617511527,2,HSBC Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.1,8.9,0.3258994330977613
Franklin India Savings Fund,500,10000,0.038610038610038616,1084.0,10,Umesh Sharma,3.34,2.67,0.004648160103292446,0.889694041867955,0.4654377880184332,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.2,6.1,0.3283846944574537
BHARAT Bond FOF – April 2025 – Direct Growth,500,1000,0.023166023166023165,3912.0,3,Dhawal Dalal,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Edelweiss Mutual Fund,2,Other,FoFs Domestic,2.6,18.5,8.9,0.3287504704681209
Kotak Savings Fund,1000,5000,0.14285714285714285,12325.0,10,Deepak Agrawal,4.14,2.57,0.004002582311168495,0.8851315083199142,0.3847926267281106,3,Kotak Mahindra Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,6.2,0.3291790209744938
AXIS Treasury Advantage Fund,1000,5000,0.11196911196911197,4614.0,10,Devang Shah,3.73,3.09,0.007746933505487412,0.8864734299516909,0.40783410138248855,2,Axis Mutual Fund,4,Debt,Low Duration Funds,5.3,5.9,6.6,0.3295739277737346
Nippon India Low Duration Fund,100,500,0.14285714285714285,6232.0,10,Anju Chhajer,2.8,2.56,0.009167204648160104,0.8706387546967257,0.391705069124424,2,Nippon India Mutual Fund,4,Debt,Low Duration Funds,5.3,6.2,6.5,0.3296453585529981
SBI Conservative Hybrid Fund,500,5000,0.22007722007722005,7250.0,10,Saurabh Pant,4.24,5.19,0.04958037443511944,0.870101986044015,0.29723502304147464,5,SBI Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,6.2,13.8,8.8,0.3306053027493303
Franklin India Floating Rate Fund,500,1000,0.08108108108108109,311.0,10,Pallab Roy,2.6,2.33,0.00735958683021304,0.8752012882447665,0.4470046082949309,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2,0.3312518071152561
Aditya Birla SL Floating Rate Fund,1000,1000,0.0888030888030888,12364.0,10,Kaustubh Gupta,2.81,3.73,0.011233053582956745,0.8918411164787977,0.4285714285714286,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8,0.33194868746369954
Kotak Debt Hybrid Fund,1000,5000,0.16988416988416988,1650.0,10,Devender Singhal,3.44,4.79,0.057585539057456434,0.8738593666129898,0.3364055299539171,4,Kotak Mahindra Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10.0,0.3325609595441797
ITI Ultra Short Duration Fund,500,5000,0.038610038610038616,119.0,2,Vikrant Mehta,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,ITI Mutual Fund,2,Debt,Ultra Short Duration Funds,5.3,18.5,8.9,0.33261147432912475
TRUSTMF Liquid Fund,1000,1000,0.038610038610038616,205.0,2,Anand Nevatia,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Trust Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,18.5,8.9,0.33261147432912475
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,1000,5000,0.0501930501930502,783.0,10,Devender Singhal,4.33,8.04,0.13841187863137508,0.8738593666129898,0.37096774193548393,5,Kotak Mahindra Mutual Fund,0,Other,FoFs Domestic,11.2,25.0,15.3,0.3332134281093495
Mahindra Manulife Ultra Short Duration Fund,500,1000,0.13513513513513511,170.0,3,Rahul Pal,3.72,2.38,0.003744351194318916,0.8832528180354268,0.4101382488479263,2,Mahindra Manulife Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,8.9,0.33441190984382674
Invesco India Ultra Short Term Fund,1000,1000,0.09266409266409266,818.0,10,Krishna Cheemalapati,3.4,2.51,0.003873466752743705,0.8872785829307569,0.4447004608294931,2,Invesco Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,6.0,0.3350002446892084
ITI Dynamic Bond Fund,500,5000,0.05405405405405406,57.0,2,Vikrant Mehta,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,ITI Mutual Fund,5,Debt,Dynamic Bond,5.7,18.5,8.9,0.3364724781901286
ITI Banking & PSU Debt Fund,500,5000,0.05791505791505791,27.0,2,Vikrant Mehta,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,ITI Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.4,18.5,8.9,0.3374377291553796
AXIS Floater Fund,1000,5000,0.06177606177606178,416.0,2,Aditya Pagaria,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Axis Mutual Fund,2,Debt,Floater Mutual Funds,5.8,18.5,8.9,0.3384029801206305
Tata Equity Saving Fund,150,5000,0.04633204633204633,142.0,10,Sailesh Jain,3.37,2.17,0.06300839251129763,0.8768115942028986,0.45622119815668205,4,Tata Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,3.4,12.0,7.5,0.33956378799842035
LIC MF Savings Fund,1000,5000,0.10424710424710426,707.0,10,Rahul Singh,4.54,2.95,0.009683666881859263,0.8821792807300054,0.44930875576036866,2,LIC Mutual Fund,3,Debt,Low Duration Funds,5.0,5.9,5.6,0.33971117565635256
Nippon India Corporate Bond Fund,100,5000,0.12355212355212356,1701.0,10,Vivek Sharma,2.64,2.14,0.01471917366042608,0.867686527106817,0.44009216589861755,3,Nippon India Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.1,6.8,7.0,0.34013277949408605
HDFC Low Duration Fund,100,100,0.16602316602316602,14779.0,10,Anupam Joshi,3.31,2.82,0.010845706907682377,0.8730542136339238,0.4124423963133641,2,HDFC Mutual Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7,0.3425607798535061
Tata Treasury Advantage Fund,150,5000,0.11583011583011582,2602.0,10,Akhil Mittal,2.98,3.08,0.007746933505487412,0.8894256575415996,0.4470046082949309,2,Tata Mutual Fund,3,Debt,Low Duration Funds,5.0,5.6,5.2,0.3428807763307
PGIM India Equity Savings Fund,1000,5000,0.16216216216216217,143.0,10,Anandha Padmanabhan Anjen,4.61,4.09,0.05474499677211103,0.8711755233494364,0.3824884792626728,2,PGIM India Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.3,12.6,8.0,0.34320843818225744
TRUSTMF Banking & PSU Debt Fund,1000,1000,0.08108108108108109,345.0,2,Anand Nevatia,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,3,Trust Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.0,18.5,8.9,0.3432292349468854
ICICI Pru Short Term Fund,1000,5000,0.15057915057915058,14561.0,10,Manish Banthia,3.78,4.86,0.018463524854744996,0.8931830381105743,0.40783410138248855,3,ICICI Prudential Mutual Fund,4,Debt,Short Duration Funds,6.4,7.5,7.7,0.34324750689533534
DSP Ultra Short Fund,500,500,0.11583011583011582,2736.0,10,Kedar Karnik,3.54,2.39,0.0032278889606197547,0.8870101986044016,0.45622119815668205,2,DSP Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,4.9,5.5,0.34403290036556883
HDFC Dynamic PE Ratio Fund,100,100,0.08494208494208494,30.0,10,Srinivasan Ramamurthy,4.11,6.38,0.12085216268560363,0.8711755233494364,0.39631336405529954,5,HDFC Mutual Fund,4,Other,FoFs Domestic,8.6,21.9,11.1,0.34457767579339926
Mahindra Manulife Low Duration Fund,500,1000,0.14285714285714285,395.0,6,Rahul Pal,3.11,2.67,0.0063266623628147195,0.8837895866881375,0.435483870967742,3,Mahindra Manulife Mutual Fund,3,Debt,Low Duration Funds,5.2,5.5,6.4,0.34469902993293944
TRUSTMF Short Term Fund,1000,1000,0.0888030888030888,94.0,2,Anand Nevatia,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Trust Mutual Fund,2,Debt,Short Duration Funds,4.2,18.5,8.9,0.3451597368773873
DSP Floater Fund,500,500,0.09266409266409266,983.0,2,Kedar Karnik,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,DSP Mutual Fund,1,Debt,Floater Mutual Funds,4.4,18.5,8.9,0.34612498784263823
Union Money Market Fund,2000,5000,0.09266409266409266,144.0,2,Parijat Agrawal,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Union Mutual Fund,3,Debt,Money Market Funds,5.4,18.5,8.9,0.34612498784263823
ICICI Pru Corporate Bond Fund,100,100,0.11583011583011582,16998.0,10,Rahul Goswami,3.07,2.35,0.018076178179470624,0.8733225979602791,0.46082949308755766,2,ICICI Prudential Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7.0,7.3,0.34638994102071974
Mirae Asset Money Market Fund,1000,5000,0.09652509652509653,59.0,2,Basant Bafna,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Mirae Asset Mutual Fund,3,Debt,Money Market Funds,5.3,18.5,8.9,0.34709023880788925
SBI Floating Rate Debt Fund,500,5000,0.1003861003861004,1604.0,2,Rajeev Radhakrishnan,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,SBI Mutual Fund,3,Debt,Floater Mutual Funds,5.0,18.5,8.9,0.3480554897731402
Sundaram Money Market Fund,1000,1000,0.08494208494208494,64.0,5,Sandeep Agarwal,4.91,1.87,0.002194964493221433,0.8808373590982287,0.5023041474654378,1,Sundaram Mutual Fund,3,Debt,Money Market Funds,5.4,4.7,8.9,0.3486429784181037
SBI Magnum Ultra Short Duration Fund,2000,5000,0.11969111969111969,8907.0,10,R Arun,3.14,2.47,0.004002582311168495,0.8872785829307569,0.467741935483871,2,SBI Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,5.1,6.1,0.3487017227318847
Nippon India Arbitrage Fund,100,5000,0.08108108108108109,9234.0,10,Anand Devendra Gupta,1.67,1.74,0.005551969012265977,0.8714439076757917,0.5092165898617511,1,Nippon India Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.7,0.3487120210170205
IDBI Liquid Fund,500,5000,0.0501930501930502,763.0,10,Raju Sharma,5.73,1.43,0.0011620400258231115,0.8752012882447665,0.5368663594470047,2,IDBI Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,0.34893893803777304
Mirae Asset Ultra Short Duration Fund,1000,5000,0.11196911196911197,284.0,2,Basant Bafna,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Mirae Asset Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,18.5,8.9,0.3509512426688931
Mahindra Manulife Short Duration Fund,500,1000,0.11196911196911197,43.0,2,Rahul Pal,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,3,Mahindra Manulife Mutual Fund,3,Debt,Short Duration Funds,4.4,18.5,8.9,0.3509512426688931
IDBI Ultra Short Term Fund,500,5000,0.09652509652509653,198.0,10,Raju Sharma,1.68,1.14,0.005810200129115558,0.8590982286634461,0.5138248847926268,2,IDBI Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,5.9,0.35155093533403026
Invesco India Arbitrage Fund,500,1000,0.14671814671814673,3184.0,10,Deepak Gupta,2.16,1.77,0.005681084570690768,0.869296833064949,0.4654377880184332,1,Invesco Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,6.4,5.0,5.6,0.3515905108407291
Tata Floating Rate Fund,150,5000,0.11583011583011582,225.0,2,Akhil Mittal,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Tata Mutual Fund,4,Debt,Floater Mutual Funds,5.6,18.5,8.9,0.35191649363414407
Nippon India USD Fund,100,100,0.14671814671814673,5114.0,10,Vivek Sharma,3.13,3.47,0.01962556488056811,0.869296833064949,0.45622119815668205,3,Nippon India Mutual Fund,5,Debt,Ultra Short Duration Funds,5.9,7.0,5.9,0.3523116539596731
Tata Small Cap Fund,150,5000,0.1003861003861004,3300.0,4,Chandraprakash Padiyar,3.98,11.28,0.22156229825693996,0.8757380568974772,0.3225806451612903,6,Tata Mutual Fund,4,Equity,Small Cap Mutual Funds,17.1,44.1,8.9,0.3524089045886426
Tata Arbitrage Fund,150,5000,0.10810810810810811,5925.0,4,Sailesh Jain,1.97,1.94,0.006197546804389928,0.8735909822866345,0.4976958525345622,1,Tata Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.7,5.0,8.9,0.3526033659458201
SBI Magnum Low Duration Fund,500,5000,0.15444015444015446,7717.0,10,Rajeev Radhakrishnan,3.47,3.11,0.006843124596513881,0.8918411164787977,0.4470046082949309,3,SBI Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,6.4,0.3527904255434059
Mahindra Manulife Liquid Fund,0,1000,0.05791505791505791,514.0,7,Rahul Pal,5.26,1.41,0.0012911555842479014,0.8749329039184112,0.5460829493087558,3,Mahindra Manulife Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.5,5.4,0.3536130189511354
Tata Balanced Advantage Fund,150,5000,0.10810810810810811,6396.0,4,RahulSingh,4.01,3.8,0.10626210458360233,0.8703703703703703,0.42165898617511527,4,Tata Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.8,18.7,8.9,0.35416432309953627
Aditya Birla SL Short Term Fund,1000,1000,0.14671814671814673,5045.0,10,Kaustubh Gupta,3.7,4.91,0.02298256939961265,0.8891572732152443,0.44930875576036866,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6,0.3550492604005993
ICICI Pru Credit Risk Fund,100,100,0.33204633204633205,7584.0,10,Manish Banthia,3.18,3.97,0.017043253712072305,0.8663446054750403,0.31566820276497704,4,ICICI Prudential Mutual Fund,4,Debt,Credit Risk Funds,5.8,8.0,8.1,0.3552417783641023
DSP Low Duration Fund,500,500,0.11583011583011582,3340.0,8,Karan Mundhara,3.06,2.97,0.00723047127178825,0.891304347826087,0.4884792626728111,2,DSP Mutual Fund,2,Debt,Low Duration Funds,5.1,5.5,6.3,0.3555697951425367
Mirae Asset Banking and PSU Debt Fund,1000,5000,0.1312741312741313,89.0,3,Basant Bafna,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Mirae Asset Mutual Fund,3,Debt,Banking and PSU Mutual Funds,3.7,18.5,8.9,0.3557774974951479
Mirae Asset Savings Fund,1000,5000,0.14285714285714285,606.0,10,Kruti Chheta,3.29,2.65,0.00761781794706262,0.8827160493827161,0.4723502304147466,2,Mirae Asset Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.9,0.3558670192020186
DSP Equity Savings Fund,500,500,0.15444015444015446,535.0,7,Kedar Karnik,3.55,4.83,0.07876049063912202,0.878690284487386,0.40783410138248855,4,DSP Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,4.0,14.6,7.8,0.3563884485820429
Union Liquid Fund,2000,5000,0.02702702702702703,1688.0,10,Devesh Thacker,5.48,1.4,0.001420271142672692,0.8754696725711218,0.5806451612903226,2,Union Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,4.6,0.3563993074437461
AXIS Corporate Debt Fund,1000,5000,0.08494208494208494,3783.0,6,Devang Shah,2.88,2.46,0.023111684958037445,0.8730542136339238,0.5161290322580645,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3,0.3564629948792347
Baroda BNP Paribas Low Duration Fund,300,5000,0.15057915057915058,175.0,10,Mayank Prakash,2.55,3.17,0.008908973531310522,0.8894256575415996,0.46313364055299544,3,Baroda BNP Paribas Mutual Fund,3,Debt,Low Duration Funds,5.0,6.0,6.5,0.35669725470183383
ICICI Pru Equity Savings Fund,100,5000,0.20849420849420852,4936.0,8,Kayzad Eghlim,5.26,4.82,0.058747579083279544,0.8703703703703703,0.38709677419354843,2,ICICI Prudential Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9,0.3570135532265106
Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.1312741312741313,14.0,10,Vinod Narayan Bhat,3.82,1.94,0.06739832149774048,0.8647342995169083,0.44930875576036866,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2,0.3574075998244602
UTI-Floater Fund,500,500,0.13513513513513511,1637.0,4,Sudhir Agrawal,3.07,3.41,0.010071013557133635,0.892914653784219,0.47695852534562216,2,UTI Mutual Fund,3,Debt,Floater Mutual Funds,5.1,5.9,8.9,0.35797202553359764
Edelweiss Liquid Fund,500,5000,0.05791505791505791,1543.0,10,Rahul Dedhia,6.74,1.47,0.001420271142672692,0.8765432098765432,0.5622119815668203,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,0.3588060687097874
AXIS Strategic Bond Fund,1000,5000,0.15057915057915058,1644.0,10,Devang Shah,2.27,2.56,0.02091672046481601,0.8738593666129898,0.4746543778801844,4,Axis Mutual Fund,4,Debt,Medium Duration Funds,5.2,7.4,7.4,0.3600421544476449
Nippon India Short Term Fund,100,100,0.1312741312741313,5147.0,10,Sushil Budhia,2.42,4.95,0.017172369270497097,0.9071390230810521,0.4723502304147466,3,Nippon India Mutual Fund,4,Debt,Short Duration Funds,4.3,6.7,7.2,0.36024449887679155
Aditya Birla SL Corporate Bond Fund,100,100,0.11969111969111969,12120.0,10,Kaustubh Gupta,2.28,2.38,0.02143318269851517,0.8760064412238325,0.5,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4,0.36048236384217525
Baroda BNP Paribas Banking & PSU Bond Fund,500,5000,0.15057915057915058,40.0,2,Prashant Pimple,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,2,Baroda BNP Paribas Mutual Fund,2,Debt,Banking and PSU Mutual Funds,2.5,18.5,8.9,0.36060375232140274
PGIM India Liquid Fund,1000,100,0.06563706563706564,809.0,10,Puneet Pal,4.88,1.42,0.001420271142672692,0.8754696725711218,0.5645161290322581,2,PGIM India Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.4,0.3612131074188364
Quantum Multi Asset Fund,500,500,0.038610038610038616,49.0,11,Chirag Mehta,3.12,0.61,0.08340865074241446,0.8663446054750403,0.5253456221198157,4,Quantum Mutual Fund,3,Other,FoFs Domestic,5.5,12.4,8.1,0.36137728006906605
Invesco India Treasury Advantage Fund,100,1000,0.12355212355212356,1230.0,10,Krishna Cheemalapati,2.9,2.95,0.008521626856036153,0.8891572732152443,0.5023041474654378,2,Invesco Mutual Fund,2,Debt,Low Duration Funds,4.9,5.6,6.4,0.36154113648472014
Invesco India Medium Duration Fund,1000,1000,0.15444015444015446,306.0,2,Vikas Garg,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,3,Invesco Mutual Fund,2,Debt,Medium Duration Funds,3.5,18.5,8.9,0.3615690032866537
Navi ELSS Tax Saver Fund,500,500,0.15444015444015446,56.0,7,Aditya Mulki,3.24,0.67,0.001420271142672692,0.880300590445518,0.4884792626728111,6,Navi Mutual Fund,2,Equity,ELSS Mutual Funds,1.3,23.4,10.5,0.3615690032866537
AXIS Short Term Fund,1000,5000,0.11583011583011582,7096.0,10,Devang Shah,2.78,4.6,0.017301484828921885,0.9028448738593666,0.4930875576036867,3,Axis Mutual Fund,4,Debt,Short Duration Funds,4.9,6.9,7.4,0.36177814221773874
Nippon India Floating Rate Fund,100,5000,0.10424710424710426,7288.0,10,Anju Chhajer,2.66,4.77,0.018721755971594575,0.9044551798174987,0.5023041474654378,3,Nippon India Mutual Fund,3,Debt,Floater Mutual Funds,4.5,6.9,7.1,0.3623244952578058
ICICI Pru Savings Fund,100,100,0.15444015444015446,21144.0,10,Rahul Goswami,2.65,3.0,0.01329890251775339,0.8784219001610306,0.48617511520737333,2,ICICI Prudential Mutual Fund,2,Debt,Low Duration Funds,5.7,6.2,6.7,0.3634716788338951
Canara Robeco Conservative Hybrid Fund,1000,5000,0.22007722007722005,1069.0,10,Avnish Jain,3.41,2.59,0.04790187217559716,0.8711755233494364,0.4101382488479263,4,Canara Robeco Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4,0.3642713523874695
AXIS Arbitrage Fund,1000,500,0.11969111969111969,3085.0,9,Ashish Naik,1.47,1.41,0.005293737895416399,0.866881374127751,0.532258064516129,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6,0.36429990857702294
